ticker,strategy,signal_date,entry_date,exit_date,signal,entry_price,exit_price,pnl_pct
GOOGL,momentum,2023-04-04,2023-04-05,2023-04-13,BUY,104.9868,105.0463,0.000567
GOOGL,momentum,2023-04-05,2023-04-06,2023-04-14,BUY,104.4707,106.0884,0.015485
GOOGL,momentum,2023-04-06,2023-04-10,2023-04-17,BUY,106.1778,103.8751,-0.021686
GOOGL,momentum,2023-04-10,2023-04-11,2023-04-18,BUY,105.751,105.6914,-0.000563
GOOGL,momentum,2023-04-13,2023-04-14,2023-04-21,BUY,106.0884,104.6791,-0.013285
GOOGL,momentum,2023-04-27,2023-04-28,2023-05-05,BUY,106.2373,104.0339,-0.02074
GOOGL,momentum,2023-05-04,2023-05-05,2023-05-12,SELL,104.0339,115.805,-0.113146
GOOGL,momentum,2023-05-10,2023-05-11,2023-05-18,BUY,114.5346,120.043,0.048093
GOOGL,momentum,2023-05-11,2023-05-12,2023-05-19,BUY,115.805,122.6235,0.058879
GOOGL,momentum,2023-05-12,2023-05-15,2023-05-22,BUY,115.2393,122.0181,0.058824
GOOGL,momentum,2023-05-15,2023-05-16,2023-05-23,BUY,115.6164,123.2289,0.065843
GOOGL,momentum,2023-05-16,2023-05-17,2023-05-24,BUY,118.713,120.2117,0.012624
GOOGL,momentum,2023-05-17,2023-05-18,2023-05-25,BUY,120.043,123.5862,0.029516
GOOGL,momentum,2023-05-18,2023-05-19,2023-05-26,BUY,122.6235,122.2463,-0.003076
GOOGL,momentum,2023-05-19,2023-05-22,2023-05-30,BUY,122.0181,124.6978,0.021962
GOOGL,momentum,2023-05-22,2023-05-23,2023-05-31,BUY,123.2289,121.8295,-0.011356
GOOGL,momentum,2023-05-23,2023-05-24,2023-06-01,BUY,120.2117,121.899,0.014036
GOOGL,momentum,2023-06-01,2023-06-02,2023-06-09,BUY,123.0602,121.3332,-0.014033
GOOGL,momentum,2023-06-06,2023-06-07,2023-06-14,BUY,126.0179,122.1769,-0.03048
GOOGL,momentum,2023-06-15,2023-06-16,2023-06-26,BUY,124.9856,119.8544,-0.041055
GOOGL,momentum,2023-06-21,2023-06-22,2023-06-29,SELL,119.1001,118.3458,0.006333
GOOGL,momentum,2023-06-23,2023-06-26,2023-07-03,SELL,119.8544,118.3458,0.012587
GOOGL,momentum,2023-06-26,2023-06-27,2023-07-05,SELL,116.202,118.3458,-0.018449
GOOGL,momentum,2023-06-27,2023-06-28,2023-07-06,SELL,116.2119,118.9016,-0.023145
GOOGL,momentum,2023-06-29,2023-06-30,2023-07-10,SELL,119.2688,117.4129,0.015561
GOOGL,momentum,2023-06-30,2023-07-03,2023-07-11,SELL,118.3458,115.4179,0.02474
GOOGL,momentum,2023-07-10,2023-07-11,2023-07-18,SELL,115.4179,123.6656,-0.071459
GOOGL,momentum,2023-07-11,2023-07-12,2023-07-19,SELL,117.9091,123.6656,-0.048821
GOOGL,momentum,2023-07-12,2023-07-13,2023-07-20,SELL,120.0231,120.5095,-0.004052
GOOGL,momentum,2023-07-13,2023-07-14,2023-07-21,BUY,123.8641,119.7155,-0.033494
GOOGL,momentum,2023-07-14,2023-07-17,2023-07-24,BUY,124.9956,120.7477,-0.033984
GOOGL,momentum,2023-07-17,2023-07-18,2023-07-25,BUY,123.6656,120.4499,-0.026003
GOOGL,momentum,2023-07-18,2023-07-19,2023-07-26,BUY,123.6656,129.0946,0.043901
GOOGL,momentum,2023-07-19,2023-07-20,2023-07-27,BUY,120.5095,130.6826,0.084418
GOOGL,momentum,2023-07-20,2023-07-21,2023-07-28,SELL,119.7155,129.7992,-0.084231
GOOGL,momentum,2023-07-21,2023-07-24,2023-07-31,SELL,120.7477,131.7347,-0.090991
GOOGL,momentum,2023-07-26,2023-07-27,2023-08-03,BUY,130.6826,127.0104,-0.0281
GOOGL,momentum,2023-07-27,2023-07-28,2023-08-04,BUY,129.7992,128.3105,-0.01147
GOOGL,momentum,2023-07-28,2023-07-31,2023-08-07,BUY,131.7347,128.1914,-0.026897
GOOGL,momentum,2023-07-31,2023-08-01,2023-08-08,BUY,129.7992,129.6405,-0.001223
GOOGL,momentum,2023-08-01,2023-08-02,2023-08-09,BUY,128.4792,130.6727,0.017072
GOOGL,momentum,2023-08-21,2023-08-22,2023-08-29,SELL,127.5463,131.2483,-0.029025
GOOGL,momentum,2023-08-23,2023-08-24,2023-08-31,BUY,132.9455,134.99,0.015379
GOOGL,momentum,2023-08-28,2023-08-29,2023-09-06,BUY,131.2483,135.0,0.028584
GOOGL,momentum,2023-08-29,2023-08-30,2023-09-07,BUY,133.7693,132.5882,-0.008829
GOOGL,momentum,2023-08-30,2023-08-31,2023-09-08,BUY,134.99,133.8983,-0.008087
GOOGL,momentum,2023-08-31,2023-09-01,2023-09-11,BUY,136.4292,135.516,-0.006693
GOOGL,momentum,2023-09-01,2023-09-05,2023-09-12,BUY,134.4243,135.2382,0.006054
GOOGL,momentum,2023-09-05,2023-09-06,2023-09-13,BUY,135.0,134.077,-0.006837
GOOGL,momentum,2023-09-14,2023-09-15,2023-09-22,BUY,136.9453,129.7794,-0.052326
GOOGL,momentum,2023-09-20,2023-09-21,2023-09-28,SELL,130.4543,128.8663,0.012173
GOOGL,momentum,2023-09-21,2023-09-22,2023-09-29,SELL,129.7794,132.2805,-0.019272
GOOGL,momentum,2023-09-22,2023-09-25,2023-10-02,SELL,128.8564,130.2261,-0.010629
GOOGL,momentum,2023-09-25,2023-09-26,2023-10-03,SELL,128.7969,132.9356,-0.032134
GOOGL,momentum,2023-09-26,2023-09-27,2023-10-04,SELL,127.6059,131.7942,-0.032823
GOOGL,momentum,2023-09-27,2023-09-28,2023-10-05,SELL,128.8663,134.0571,-0.04028
GOOGL,momentum,2023-10-04,2023-10-05,2023-10-12,BUY,134.0571,139.9923,0.044273
GOOGL,momentum,2023-10-05,2023-10-06,2023-10-13,BUY,133.0051,138.3348,0.040071
GOOGL,momentum,2023-10-06,2023-10-09,2023-10-16,BUY,135.9131,137.1339,0.008982
GOOGL,momentum,2023-10-09,2023-10-10,2023-10-17,BUY,137.4614,137.5904,0.000939
GOOGL,momentum,2023-10-10,2023-10-11,2023-10-18,BUY,137.5408,138.4043,0.006278
GOOGL,momentum,2023-10-11,2023-10-12,2023-10-19,BUY,139.9923,137.4614,-0.018079
GOOGL,momentum,2023-10-12,2023-10-13,2023-10-20,BUY,138.3348,136.3002,-0.014708
GOOGL,momentum,2023-10-25,2023-10-26,2023-11-02,SELL,122.3456,127.457,-0.041778
GOOGL,momentum,2023-10-26,2023-10-27,2023-11-03,SELL,121.9585,127.06,-0.04183
GOOGL,momentum,2023-10-27,2023-10-30,2023-11-06,SELL,122.286,128.0822,-0.047399
GOOGL,momentum,2023-10-30,2023-10-31,2023-11-07,SELL,124.1222,129.7298,-0.045178
GOOGL,momentum,2023-10-31,2023-11-01,2023-11-08,SELL,123.1396,129.9879,-0.055614
GOOGL,momentum,2023-11-08,2023-11-09,2023-11-16,BUY,130.9704,134.1762,0.024477
GOOGL,momentum,2023-11-10,2023-11-13,2023-11-20,BUY,130.7918,132.6875,0.014494
GOOGL,momentum,2023-11-14,2023-11-15,2023-11-22,BUY,133.8586,136.4391,0.019278
GOOGL,momentum,2023-11-15,2023-11-16,2023-11-24,BUY,134.1762,136.9949,0.021007
GOOGL,momentum,2023-11-16,2023-11-17,2023-11-27,BUY,134.9801,135.0099,0.000221
GOOGL,momentum,2023-11-17,2023-11-20,2023-11-28,BUY,132.6875,135.0595,0.017877
GOOGL,momentum,2023-11-20,2023-11-21,2023-11-29,BUY,135.268,136.5384,0.009392
GOOGL,momentum,2023-11-21,2023-11-22,2023-11-30,BUY,136.4391,134.0372,-0.017604
GOOGL,momentum,2023-11-22,2023-11-24,2023-12-01,BUY,136.9949,130.8712,-0.0447
GOOGL,momentum,2023-11-30,2023-12-01,2023-12-08,SELL,130.8712,133.1936,-0.017746
GOOGL,momentum,2023-12-01,2023-12-04,2023-12-11,SELL,128.906,131.3873,-0.019248
GOOGL,momentum,2023-12-04,2023-12-05,2023-12-12,SELL,127.983,130.8216,-0.022179
GOOGL,momentum,2023-12-05,2023-12-06,2023-12-13,SELL,130.4543,132.3798,-0.01476
GOOGL,momentum,2023-12-06,2023-12-07,2023-12-14,SELL,134.0273,132.3798,0.012293
GOOGL,momentum,2023-12-07,2023-12-08,2023-12-15,BUY,133.1936,130.633,-0.019225
GOOGL,momentum,2023-12-08,2023-12-11,2023-12-18,BUY,131.3873,131.6354,0.001889
GOOGL,momentum,2023-12-14,2023-12-15,2023-12-22,SELL,130.633,139.7144,-0.069519
GOOGL,momentum,2023-12-19,2023-12-20,2023-12-28,BUY,137.9279,139.7243,0.013024
GOOGL,momentum,2023-12-20,2023-12-21,2023-12-29,BUY,138.444,138.5829,0.001004
GOOGL,momentum,2023-12-21,2023-12-22,2024-01-02,BUY,139.7144,137.511,-0.01577
GOOGL,momentum,2023-12-22,2023-12-26,2024-01-03,BUY,140.5282,136.2208,-0.030652
GOOGL,momentum,2023-12-26,2023-12-27,2024-01-04,BUY,140.5282,137.382,-0.022389
GOOGL,momentum,2023-12-27,2023-12-28,2024-01-05,BUY,139.7243,135.7245,-0.028626
GOOGL,momentum,2024-01-04,2024-01-05,2024-01-12,SELL,135.7245,141.6001,-0.043291
GOOGL,momentum,2024-01-05,2024-01-08,2024-01-16,SELL,135.2679,140.9351,-0.041896
GOOGL,momentum,2024-01-09,2024-01-10,2024-01-18,BUY,139.9426,140.9848,0.007447
GOOGL,momentum,2024-01-10,2024-01-11,2024-01-19,BUY,142.414,143.6546,0.008711
GOOGL,momentum,2024-01-11,2024-01-12,2024-01-22,BUY,141.6001,145.9969,0.031051
GOOGL,momentum,2024-01-12,2024-01-16,2024-01-23,BUY,140.9351,144.796,0.027394
GOOGL,momentum,2024-01-16,2024-01-17,2024-01-24,BUY,140.29,147.4261,0.050867
GOOGL,momentum,2024-01-19,2024-01-22,2024-01-29,BUY,145.9969,150.9197,0.033718
GOOGL,momentum,2024-01-22,2024-01-23,2024-01-30,BUY,144.796,151.6542,0.047365
GOOGL,momentum,2024-01-23,2024-01-24,2024-01-31,BUY,147.4261,142.543,-0.033122
GOOGL,momentum,2024-01-24,2024-01-25,2024-02-01,BUY,148.9446,141.0542,-0.052975
GOOGL,momentum,2024-01-25,2024-01-26,2024-02-02,BUY,149.9669,138.2157,-0.078359
GOOGL,momentum,2024-01-26,2024-01-29,2024-02-05,BUY,150.9197,141.749,-0.060765
GOOGL,momentum,2024-01-29,2024-01-30,2024-02-06,BUY,151.6542,143.5652,-0.053338
GOOGL,momentum,2024-01-30,2024-01-31,2024-02-07,BUY,142.543,143.6744,0.007938
GOOGL,momentum,2024-01-31,2024-02-01,2024-02-08,SELL,141.0542,144.7364,-0.026105
GOOGL,momentum,2024-02-01,2024-02-02,2024-02-09,SELL,138.2157,145.58,-0.053282
GOOGL,momentum,2024-02-02,2024-02-05,2024-02-12,SELL,141.749,147.307,-0.03921
GOOGL,momentum,2024-02-05,2024-02-06,2024-02-13,SELL,143.5652,143.8332,-0.001867
GOOGL,momentum,2024-02-06,2024-02-07,2024-02-14,SELL,143.6744,144.9845,-0.009119
GOOGL,momentum,2024-02-07,2024-02-08,2024-02-15,BUY,144.7364,142.0666,-0.018446
GOOGL,momentum,2024-02-08,2024-02-09,2024-02-16,BUY,145.58,141.9177,-0.025157
GOOGL,momentum,2024-02-09,2024-02-12,2024-02-20,BUY,147.307,138.6127,-0.059022
GOOGL,momentum,2024-02-12,2024-02-13,2024-02-21,BUY,143.8332,140.3893,-0.023944
GOOGL,momentum,2024-02-15,2024-02-16,2024-02-26,SELL,141.9177,141.0741,0.005944
GOOGL,momentum,2024-02-16,2024-02-20,2024-02-27,SELL,138.6127,136.985,0.011743
GOOGL,momentum,2024-02-20,2024-02-21,2024-02-28,SELL,140.3893,136.8659,0.025097
GOOGL,momentum,2024-02-26,2024-02-27,2024-03-05,SELL,136.985,130.891,0.044486
GOOGL,momentum,2024-02-28,2024-02-29,2024-03-07,SELL,136.2505,131.7942,0.032707
GOOGL,momentum,2024-02-29,2024-03-01,2024-03-08,SELL,137.3919,133.2035,0.030485
GOOGL,momentum,2024-03-01,2024-03-04,2024-03-11,SELL,134.6427,135.1092,-0.003465
GOOGL,momentum,2024-03-04,2024-03-05,2024-03-12,SELL,130.891,136.0024,-0.039051
GOOGL,momentum,2024-03-05,2024-03-06,2024-03-13,SELL,132.1217,137.9576,-0.044171
GOOGL,momentum,2024-03-06,2024-03-07,2024-03-14,SELL,131.7942,140.1312,-0.063258
GOOGL,momentum,2024-03-07,2024-03-08,2024-03-15,SELL,133.2035,141.4314,-0.061769
GOOGL,momentum,2024-03-13,2024-03-14,2024-03-21,BUY,140.1312,148.3491,0.058644
GOOGL,momentum,2024-03-14,2024-03-15,2024-03-22,BUY,141.4314,148.0018,0.046456
GOOGL,momentum,2024-03-15,2024-03-18,2024-03-25,BUY,147.4956,148.8156,0.00895
GOOGL,momentum,2024-03-18,2024-03-19,2024-03-26,BUY,147.0489,149.0935,0.013904
GOOGL,momentum,2024-03-19,2024-03-20,2024-03-27,BUY,146.8901,150.0463,0.021486
GOOGL,momentum,2024-03-20,2024-03-21,2024-03-28,BUY,148.3491,149.7188,0.009233
GOOGL,momentum,2024-03-21,2024-03-22,2024-04-01,BUY,148.0018,149.56,0.010528
GOOGL,momentum,2024-03-22,2024-03-25,2024-04-02,BUY,148.8156,152.3489,0.023743
GOOGL,momentum,2024-03-26,2024-03-27,2024-04-04,BUY,150.0463,152.3489,0.015346
GOOGL,momentum,2024-03-28,2024-04-01,2024-04-08,BUY,149.56,151.6343,0.01387
GOOGL,momentum,2024-04-01,2024-04-02,2024-04-09,BUY,152.3489,154.9195,0.016873
GOOGL,momentum,2024-04-02,2024-04-03,2024-04-10,BUY,152.4482,155.0386,0.016992
GOOGL,momentum,2024-04-03,2024-04-04,2024-04-11,BUY,152.3489,155.7333,0.022215
GOOGL,momentum,2024-04-11,2024-04-12,2024-04-19,BUY,156.7755,155.0286,-0.011142
GOOGL,momentum,2024-04-12,2024-04-15,2024-04-22,BUY,157.6687,153.1528,-0.028642
GOOGL,momentum,2024-04-23,2024-04-24,2024-05-01,BUY,156.309,163.0679,0.043241
GOOGL,momentum,2024-04-24,2024-04-25,2024-05-02,BUY,150.1952,163.5542,0.088945
GOOGL,momentum,2024-04-26,2024-04-29,2024-05-06,BUY,167.7922,166.2042,-0.009464
GOOGL,momentum,2024-04-29,2024-04-30,2024-05-07,BUY,164.3681,167.2364,0.017451
GOOGL,momentum,2024-04-30,2024-05-01,2024-05-08,BUY,163.0679,167.7327,0.028606
GOOGL,momentum,2024-05-01,2024-05-02,2024-05-09,BUY,163.5542,168.1197,0.027914
GOOGL,momentum,2024-05-02,2024-05-03,2024-05-10,BUY,166.3034,166.7699,0.002805
GOOGL,momentum,2024-05-07,2024-05-08,2024-05-15,BUY,167.7327,169.3505,0.009645
GOOGL,momentum,2024-05-08,2024-05-09,2024-05-16,BUY,168.1197,171.9905,0.023024
GOOGL,momentum,2024-05-09,2024-05-10,2024-05-17,BUY,166.7699,172.8738,0.036601
GOOGL,momentum,2024-05-16,2024-05-17,2024-05-24,BUY,172.8738,173.6678,0.004593
GOOGL,momentum,2024-05-17,2024-05-20,2024-05-28,BUY,174.8688,173.1418,-0.009876
GOOGL,momentum,2024-05-20,2024-05-21,2024-05-29,BUY,175.5734,174.1144,-0.00831
GOOGL,momentum,2024-05-21,2024-05-22,2024-05-30,BUY,175.3154,173.8862,-0.008152
GOOGL,momentum,2024-05-22,2024-05-23,2024-05-31,BUY,175.7421,170.5712,-0.029423
GOOGL,momentum,2024-05-30,2024-05-31,2024-06-07,SELL,170.5712,175.7223,-0.030199
GOOGL,momentum,2024-06-06,2024-06-07,2024-06-14,BUY,175.7223,173.112,-0.014855
GOOGL,momentum,2024-06-21,2024-06-24,2024-07-01,BUY,179.0142,181.8659,0.01593
GOOGL,momentum,2024-06-25,2024-06-26,2024-07-03,BUY,181.4685,183.6744,0.012156
GOOGL,momentum,2024-06-26,2024-06-27,2024-07-05,BUY,183.0086,184.6779,0.009121
GOOGL,momentum,2024-06-27,2024-06-28,2024-07-08,BUY,183.1477,188.6922,0.030273
GOOGL,momentum,2024-07-01,2024-07-02,2024-07-10,BUY,180.8922,187.947,0.039
GOOGL,momentum,2024-07-05,2024-07-08,2024-07-15,BUY,188.6922,183.7439,-0.026224
GOOGL,momentum,2024-07-08,2024-07-09,2024-07-16,BUY,189.0996,186.1684,-0.015501
GOOGL,momentum,2024-07-09,2024-07-10,2024-07-17,BUY,187.947,181.8063,-0.032672
GOOGL,momentum,2024-07-10,2024-07-11,2024-07-18,BUY,188.6426,180.7729,-0.041717
GOOGL,momentum,2024-07-17,2024-07-18,2024-07-25,SELL,180.7729,171.4228,0.051723
GOOGL,momentum,2024-07-18,2024-07-19,2024-07-26,SELL,177.7423,166.0869,0.065575
GOOGL,momentum,2024-07-19,2024-07-22,2024-07-29,SELL,179.4414,167.7563,0.06512
GOOGL,momentum,2024-07-22,2024-07-23,2024-07-30,SELL,180.8922,169.1573,0.064872
GOOGL,momentum,2024-07-24,2024-07-25,2024-08-01,SELL,171.4228,169.1672,0.013158
GOOGL,momentum,2024-07-25,2024-07-26,2024-08-02,SELL,166.0869,165.3814,0.004248
